customer_id,opportunity_id,lead_id,acquisition_date_key,channel_id,campaign_id,region_id,company_size,business_type,plan,starting_mrr
1,3,7,20251125,4,10,1,1-9,Bar,Starter,50.43
2,4,11,20251123,7,20,4,10-49,Snack,Pro,110.33
3,5,16,20251204,4,10,5,10-49,Snack,Pro,110.47
4,7,22,20251125,1,1,4,10-49,Snack,Pro,116.09
5,9,36,20251117,4,11,1,1-9,Café,Starter,51.75
6,12,55,20251123,6,16,1,1-9,Restaurant,Starter,49.79
7,15,66,20251128,4,10,5,1-9,Café,Pro,113.29
8,16,67,20260108,4,11,7,10-49,Bar,Pro,124.82
9,17,90,20251212,5,13,3,10-49,Restaurant,Starter,43.63
10,21,108,20251212,3,7,6,10-49,Bar,Pro,114.54
11,23,133,20251209,7,19,2,10-49,Café,Pro,100.25
12,24,135,20251202,7,20,5,10-49,Restaurant,Pro,126.58
13,28,166,20251205,7,19,4,10-49,Bar,Group,1565.22
14,31,179,20251202,4,11,3,1-9,Bar,Starter,46.41
15,32,182,20251218,5,13,1,10-49,Café,Pro,106.54
16,34,188,20251202,7,20,2,1-9,Hotel,Starter,46.51
17,36,192,20260209,2,4,1,50+,Restaurant,Pro,111.81
18,40,202,20251208,6,16,6,10-49,Snack,Pro,116.61
19,43,218,20251201,4,10,2,10-49,Snack,Starter,43.06
20,45,230,20251201,6,16,4,1-9,Restaurant,Starter,47.48
21,46,235,20251201,2,4,4,1-9,Restaurant,Pro,96.74
22,49,248,20251215,5,14,1,1-9,Restaurant,Starter,46.52
23,52,253,20251230,2,4,2,10-49,Snack,Pro,122.58
24,53,260,20251126,5,14,3,1-9,Restaurant,Pro,120.18
25,54,261,20251219,5,14,7,10-49,Bar,Starter,47.88
26,60,294,20251224,4,10,4,10-49,Restaurant,Group,988.29
27,63,305,20251218,6,16,1,1-9,Restaurant,Starter,44.67
28,67,325,20260103,5,14,1,1-9,Snack,Starter,40.02
29,76,373,20251210,1,2,6,10-49,Restaurant,Pro,95.81
30,79,399,20251214,5,13,8,10-49,Snack,Starter,41.88
31,89,424,20251213,7,20,6,1-9,Restaurant,Pro,108.08
32,92,453,20251213,6,16,4,1-9,Restaurant,Starter,46.17
33,96,466,20251223,4,10,2,50+,Snack,Group,1411.72
34,99,486,20251208,7,19,7,1-9,Restaurant,Starter,42.16
35,100,487,20260111,7,20,4,10-49,Hotel,Pro,103.77
36,115,553,20251228,6,17,3,10-49,Bar,Pro,100.73
37,118,579,20260112,7,19,4,10-49,Bar,Starter,45.86
38,122,602,20260105,7,19,6,1-9,Restaurant,Starter,45.86
39,131,639,20260107,5,13,8,10-49,Bar,Group,840.11
40,132,643,20260104,7,19,2,1-9,Bar,Starter,45.24
41,133,644,20260111,7,19,7,1-9,Restaurant,Starter,37.79
42,134,647,20260112,7,20,2,10-49,Restaurant,Pro,101.58
43,136,649,20251216,1,1,5,1-9,Bar,Starter,40.49
44,137,656,20260106,6,17,4,1-9,Bar,Starter,52.96
45,143,675,20260103,5,13,2,10-49,Hotel,Pro,104.56
46,145,679,20260120,7,19,7,1-9,Restaurant,Pro,109.13
47,154,739,20251231,7,20,3,1-9,Restaurant,Starter,40.89
48,155,740,20251223,7,20,8,1-9,Restaurant,Starter,51.02
49,159,753,20251230,7,19,5,1-9,Bar,Starter,53.67
50,164,768,20260314,7,20,6,50+,Bar,Group,509.65
51,165,770,20260115,7,20,2,1-9,Restaurant,Starter,40.68
52,166,778,20260118,4,10,7,10-49,Snack,Pro,110.35
