customer_id,channel_name,region_name,region_group,company_size,business_type,plan,acquisition_month,starting_mrr,months_billed,revenue_to_date,has_churned,last_month
1,Organic Search,Brussels,Brussels-Capital,1-9,Bar,Starter,2025-11,50.43,5,252.71,1,2026-03
2,Referral,Flemish Brabant,Flanders,10-49,Snack,Pro,2025-11,110.33,7,772.25,1,2026-05
3,Organic Search,Hainaut,Wallonia,10-49,Snack,Pro,2025-12,110.47,7,774.76,0,2026-06
4,Google Ads,Flemish Brabant,Flanders,10-49,Snack,Pro,2025-11,116.09,8,931.11,0,2026-06
5,Organic Search,Brussels,Brussels-Capital,1-9,Café,Starter,2025-11,51.75,8,414.39,0,2026-06
6,Email,Brussels,Brussels-Capital,1-9,Restaurant,Starter,2025-11,49.79,8,397.66,0,2026-06
7,Organic Search,Hainaut,Wallonia,1-9,Café,Pro,2025-11,113.29,8,905.01,0,2026-06
8,Organic Search,Walloon Brabant,Wallonia,10-49,Bar,Pro,2026-01,124.82,6,748.28,0,2026-06
9,Direct,East Flanders,Flanders,10-49,Restaurant,Starter,2025-12,43.63,7,305.11,0,2026-06
10,Meta Ads,Liège,Wallonia,10-49,Bar,Pro,2025-12,114.54,7,801.4,0,2026-06
11,Referral,Antwerp,Flanders,10-49,Café,Pro,2025-12,100.25,7,701.56,0,2026-06
12,Referral,Hainaut,Wallonia,10-49,Restaurant,Pro,2025-12,126.58,7,885.11,0,2026-06
13,Referral,Flemish Brabant,Flanders,10-49,Bar,Group,2025-12,1565.22,7,10933.78,0,2026-06
14,Organic Search,East Flanders,Flanders,1-9,Bar,Starter,2025-12,46.41,7,325.05,0,2026-06
15,Direct,Brussels,Brussels-Capital,10-49,Café,Pro,2025-12,106.54,7,747.24,0,2026-06
16,Referral,Antwerp,Flanders,1-9,Hotel,Starter,2025-12,46.51,7,325.25,0,2026-06
17,LinkedIn Ads,Brussels,Brussels-Capital,50+,Restaurant,Pro,2026-02,111.81,5,559.28,0,2026-06
18,Email,Liège,Wallonia,10-49,Snack,Pro,2025-12,116.61,7,815.18,0,2026-06
19,Organic Search,Antwerp,Flanders,10-49,Snack,Starter,2025-12,43.06,7,301.39,0,2026-06
20,Email,Flemish Brabant,Flanders,1-9,Restaurant,Starter,2025-12,47.48,7,332.38,0,2026-06
21,LinkedIn Ads,Flemish Brabant,Flanders,1-9,Restaurant,Pro,2025-12,96.74,7,676.46,0,2026-06
22,Direct,Brussels,Brussels-Capital,1-9,Restaurant,Starter,2025-12,46.52,7,325.82,0,2026-06
23,LinkedIn Ads,Antwerp,Flanders,10-49,Snack,Pro,2025-12,122.58,7,860.28,0,2026-06
24,Direct,East Flanders,Flanders,1-9,Restaurant,Pro,2025-11,120.18,8,961.07,0,2026-06
25,Direct,Walloon Brabant,Wallonia,10-49,Bar,Starter,2025-12,47.88,7,335.96,0,2026-06
26,Organic Search,Flemish Brabant,Flanders,10-49,Restaurant,Group,2025-12,988.29,2,1973.98,1,2026-01
27,Email,Brussels,Brussels-Capital,1-9,Restaurant,Starter,2025-12,44.67,7,313.44,0,2026-06
28,Direct,Brussels,Brussels-Capital,1-9,Snack,Starter,2026-01,40.02,6,239.87,0,2026-06
29,Google Ads,Liège,Wallonia,10-49,Restaurant,Pro,2025-12,95.81,7,670.92,0,2026-06
30,Direct,Namur,Wallonia,10-49,Snack,Starter,2025-12,41.88,7,293.83,0,2026-06
31,Referral,Liège,Wallonia,1-9,Restaurant,Pro,2025-12,108.08,7,756.3,0,2026-06
32,Email,Flemish Brabant,Flanders,1-9,Restaurant,Starter,2025-12,46.17,7,323.21,0,2026-06
33,Organic Search,Antwerp,Flanders,50+,Snack,Group,2025-12,1411.72,7,9861.74,1,2026-06
34,Referral,Walloon Brabant,Wallonia,1-9,Restaurant,Starter,2025-12,42.16,7,296.33,1,2026-06
35,Referral,Flemish Brabant,Flanders,10-49,Hotel,Pro,2026-01,103.77,6,623.06,0,2026-06
36,Email,East Flanders,Flanders,10-49,Bar,Pro,2025-12,100.73,7,705.56,0,2026-06
37,Referral,Flemish Brabant,Flanders,10-49,Bar,Starter,2026-01,45.86,6,275.29,0,2026-06
38,Referral,Liège,Wallonia,1-9,Restaurant,Starter,2026-01,45.86,6,274.59,0,2026-06
39,Direct,Namur,Wallonia,10-49,Bar,Group,2026-01,840.11,6,5038.15,0,2026-06
40,Referral,Antwerp,Flanders,1-9,Bar,Starter,2026-01,45.24,6,271.7,0,2026-06
41,Referral,Walloon Brabant,Wallonia,1-9,Restaurant,Starter,2026-01,37.79,6,226.63,1,2026-06
42,Referral,Antwerp,Flanders,10-49,Restaurant,Pro,2026-01,101.58,6,610.58,0,2026-06
43,Google Ads,Hainaut,Wallonia,1-9,Bar,Starter,2025-12,40.49,7,283.46,0,2026-06
44,Email,Flemish Brabant,Flanders,1-9,Bar,Starter,2026-01,52.96,6,318.62,0,2026-06
45,Direct,Antwerp,Flanders,10-49,Hotel,Pro,2026-01,104.56,6,626.96,0,2026-06
46,Referral,Walloon Brabant,Wallonia,1-9,Restaurant,Pro,2026-01,109.13,6,653.84,0,2026-06
47,Referral,East Flanders,Flanders,1-9,Restaurant,Starter,2025-12,40.89,7,286.17,0,2026-06
48,Referral,Namur,Wallonia,1-9,Restaurant,Starter,2025-12,51.02,7,357.58,0,2026-06
49,Referral,Hainaut,Wallonia,1-9,Bar,Starter,2025-12,53.67,7,375.02,0,2026-06
50,Referral,Liège,Wallonia,50+,Bar,Group,2026-03,509.65,4,2043.97,0,2026-06
51,Referral,Antwerp,Flanders,1-9,Restaurant,Starter,2026-01,40.68,6,244.74,0,2026-06
52,Organic Search,Walloon Brabant,Wallonia,10-49,Snack,Pro,2026-01,110.35,6,663.28,0,2026-06
53,Email,Brussels,Brussels-Capital,1-9,Bar,Starter,2026-01,44.73,6,268.47,0,2026-06
54,Organic Search,Hainaut,Wallonia,10-49,Bar,Starter,2026-01,38.53,6,231.96,0,2026-06
55,Direct,Namur,Wallonia,10-49,Restaurant,Pro,2026-01,108.95,6,653.45,0,2026-06
56,Referral,Antwerp,Flanders,1-9,Bar,Starter,2026-01,43.48,6,260.25,0,2026-06
57,Referral,Namur,Wallonia,10-49,Café,Pro,2026-01,111.47,6,672.54,0,2026-06
58,Direct,Brussels,Brussels-Capital,1-9,Snack,Pro,2026-01,109.87,6,657.57,0,2026-06
59,Referral,Flemish Brabant,Flanders,10-49,Restaurant,Pro,2026-01,107.45,6,644.41,0,2026-06
