opportunity_id,channel_name,campaign_name,region_name,company_size,plan,sites,status,created_month,close_month,expected_value,won_value,open_pipeline_value,lost_value,sales_cycle_days,value_imputed
1,LinkedIn Ads,Decision Makers,Walloon Brabant,10-49,Pro,1,Lost,2025-11,2025-11,1451.59,0.0,0.0,1451.59,24.0,0
2,Meta Ads,Lead Magnet,Brussels,1-9,Starter,1,Lost,2025-11,2025-11,592.22,0.0,0.0,592.22,5.0,0
3,Organic Search,SEO Product Pages,Brussels,1-9,Starter,1,Won,2025-11,2025-11,618.92,605.18,0.0,0.0,14.0,0
4,Referral,Customer Referral,Flemish Brabant,10-49,Pro,1,Won,2025-11,2025-11,1460.98,1323.92,0.0,0.0,19.0,0
5,Organic Search,SEO Product Pages,Hainaut,10-49,Pro,1,Won,2025-11,2025-12,1389.53,1325.68,0.0,0.0,22.0,0
6,Organic Search,SEO Product Pages,East Flanders,1-9,Starter,1,Lost,2025-11,2025-12,571.84,0.0,0.0,571.84,25.0,0
7,Google Ads,High Intent Search,Flemish Brabant,10-49,Pro,1,Won,2025-11,2025-11,1374.75,1393.12,0.0,0.0,20.0,0
8,Organic Search,SEO Product Pages,Antwerp,1-9,Starter,1,Lost,2025-11,2025-11,583.8,0.0,0.0,583.8,18.0,0
9,Organic Search,SEO Guides,Brussels,1-9,Starter,1,Won,2025-11,2025-11,624.88,621.03,0.0,0.0,10.0,0
10,Direct,Brand Direct,East Flanders,1-9,Starter,1,Lost,2025-11,2025-11,571.35,0.0,0.0,571.35,10.0,0
11,LinkedIn Ads,Decision Makers,Namur,10-49,Pro,1,Lost,2025-11,2025-11,1422.45,0.0,0.0,1422.45,8.0,0
12,Email,Newsletter,Brussels,1-9,Starter,1,Won,2025-11,2025-11,596.93,597.5,0.0,0.0,14.0,0
13,Referral,Customer Referral,Brussels,10-49,Starter,1,Lost,2025-11,2025-11,609.74,0.0,0.0,609.74,16.0,0
14,Organic Search,SEO Product Pages,East Flanders,50+,Group,3,Lost,2025-11,2025-12,10847.95,0.0,0.0,10847.95,31.0,0
15,Organic Search,SEO Product Pages,Hainaut,1-9,Pro,1,Won,2025-11,2025-11,1475.56,1359.5,0.0,0.0,14.0,0
16,Organic Search,SEO Guides,Walloon Brabant,10-49,Pro,1,Won,2025-11,2026-01,1568.79,1497.83,0.0,0.0,60.0,0
17,Direct,Brand Direct,East Flanders,10-49,Starter,1,Won,2025-11,2025-12,553.4,523.57,0.0,0.0,32.0,0
18,Direct,Brand Direct,Antwerp,1-9,Starter,1,Lost,2025-11,2025-11,558.31,0.0,0.0,558.31,15.0,0
19,Direct,Brand Direct,Brussels,10-49,Pro,1,Lost,2025-11,2025-11,1462.12,0.0,0.0,1462.12,15.0,0
20,Referral,Customer Referral,Namur,1-9,Starter,1,Lost,2025-11,2025-12,576.49,0.0,0.0,576.49,27.0,0
21,Meta Ads,Awareness Video,Liège,10-49,Pro,1,Won,2025-11,2025-12,1474.78,1374.53,0.0,0.0,31.0,0
22,Email,Newsletter,Walloon Brabant,1-9,Starter,1,Lost,2025-11,2025-11,640.93,0.0,0.0,640.93,17.0,0
23,Referral,Partner Network,Antwerp,10-49,Pro,1,Won,2025-11,2025-12,1305.64,1202.99,0.0,0.0,26.0,0
24,Referral,Customer Referral,Hainaut,10-49,Pro,1,Won,2025-11,2025-12,1523.03,1518.91,0.0,0.0,20.0,0
