date,channel,campaign,impressions,clicks,sessions,spend
2026-06-16,Organic Search,SEO Comparison,1969,63,63,0.0
2025-12-12,Referral,Partner Network,21,21,21,15.43
2026-03-11,LinkedIn Ads,SMB Growth,899,6,6,35.59
2026-03-05,Meta Ads,Lead Magnet,5053,59,53,44.04
2026-04-06,LinkedIn Ads,Decision Makers,1408,11,10,76.17
2026-05-26,Direct,Returning Visitors,62,62,62,0.0
2026-04-26,Direct,Returning Visitors,35,35,35,0.0
2026-02-18,Email,Newsletter,1079,41,41,6.5
2026-04-07,Referral,Partner Network,21,21,21,15.83
2026-02-21,Email,Lead Nurture,526,20,20,6.5
2026-04-28,Email,Lead Nurture,789,30,30,6.5
2025-12-05,LinkedIn Ads,Decision Makers,1007,7,6,60.06
2026-04-14,linkedin ads,SMB Growth,727,5,5,33.76
2026-05-21,Referral,Partner Network,23,23,23,16.22
2026-04-29,Meta Ads,Retargeting,2485,28,26,25.71
2026-03-09,Email,Reactivation,395,15,15,6.5
2026-05-18,Google Ads,Restaurant Operations,495,21,19,45.03
2026-04-03,Google Ads,High Intent Search,970,43,38,94.66
2026-03-28,Google Ads,Competitor Search,235,12,11,40.72
2026-04-12,Email,Reactivation,421,16,16,6.5
2026-05-05,Direct,Brand Direct,109,109,109,0.0
2026-04-07,Organic Search,SEO Product Pages,4875,156,156,0.0
2026-05-02,Referral,Customer Referral,6,6,6,0.0
2026-06-25,Google Ads,Restaurant Operations,487,23,21,49.9
2026-01-20,Google Ads,High Intent Search,1066,48,42,97.11
2026-06-06,Email,Reactivation,395,15,15,6.5
2026-02-05,Referral,Customer Referral,9,9,9,0.0
2025-11-04,Referral,Partner Network,17,17,17,16.11
2025-11-30,Referral,Partner Network,18,18,18,12.07
2025-11-19,Organic Search,SEO Product Pages,4000,128,128,0.0
2026-05-03,Referral,Industry Events,8,8,8,0.0
2026-02-06,Email,Newsletter,947,36,36,6.5
2026-01-02,LinkedIn Ads,Decision Makers,561,4,4,33.95
2026-04-25,Referral,Industry Events,7,7,7,0.0
2026-06-27,Direct,Brand Direct,80,80,80,0.0
2026-03-16,LinkedIn Ads,SMB Growth,887,6,5,36.28
2026-03-20,Organic Search,SEO Guides,4094,131,131,0.0
2026-04-02,LinkedIn Ads,SMB Growth,706,5,5,32.07
2026-03-31,Google Ads,Restaurant Operations,487,24,21,51.07
2026-01-29,Organic Search,SEO Guides,3719,119,119,0.0
2026-02-14,Meta Ads,Lead Magnet,3580,43,37,28.88
2026-04-23,Organic Search,SEO Comparison,1938,62,62,0.0
2026-05-30,Referral,Industry Events,14,14,14,0.0
2026-01-24,Email,Newsletter,605,23,23,6.5
2026-03-09,Google Ads,High Intent Search,899,42,39,113.6
2026-06-21,Email,Newsletter,658,25,25,6.5
2025-12-19,Referral,Partner Network,16,16,16,12.99
2025-12-18,Meta Ads,Lead Magnet,3222,38,35,29.28
2026-03-26,Direct,Brand Direct,119,119,119,0.0
2026-06-12,Google Ads,High Intent Search,983,47,43,100.06
2026-02-04,LinkedIn Ads,Decision Makers,1104,7,7,50.0
2026-05-21,META ADS,Lead Magnet,4377,50,47,36.31
2026-04-09,Google Ads,Restaurant Operations,490,24,22,49.82
2026-06-14,Google Ads,High Intent Search,765,33,29,81.73
2026-04-18,Referral,Partner Network,18,18,18,11.63
2026-01-19,LinkedIn Ads,Decision Makers,1046,8,7,62.77
2026-03-15,Meta Ads,Awareness Video,5546,68,61,42.04
2025-11-19,Direct,Returning Visitors,44,44,44,0.0
2025-11-18,Organic Search,SEO Guides,3062,98,98,0.0
2026-03-26,Email,Lead Nurture,605,23,23,6.5
2026-02-14,LinkedIn Ads,Operations Leaders,583,4,4,27.65
2026-06-30,Email,Lead Nurture,842,32,32,6.5
2026-02-11,Direct,Returning Visitors,56,56,56,0.0
2026-02-14,Direct,Demo Page Direct,22,22,22,0.0
2026-01-01,Google Ads,Competitor Search,177,8,7,25.45
2026-05-17,LinkedIn Ads,SMB Growth,685,5,5,29.7
2025-12-23,Meta Ads,Awareness Video,5202,62,58,39.29
2025-12-04,Organic Search,SEO Guides,4031,129,129,0.0
2025-11-13,Meta Ads,Lead Magnet,4165,51,47,37.48
2026-03-27,Organic Search,SEO Product Pages,4000,128,128,0.0
2026-02-06,Referral,Partner Network,24,24,24,16.05
2026-02-19,LinkedIn Ads,Operations Leaders,1108,8,7,48.74
2026-05-04,Email,Reactivation,658,25,25,6.5
2026-02-19,Email,Reactivation,421,16,16,6.5
2026-01-12,Meta Ads,Awareness Video,7664,92,86,54.1
2026-06-17,Organic Search,SEO Product Pages,4438,142,142,0.0
2025-11-03,Meta Ads,Awareness Video,9722,114,99,71.7
2025-11-28,Direct,Returning Visitors,43,43,43,0.0
2026-01-05,LinkedIn Ads,Decision Makers,922,8,7,60.22
2026-02-21,Email,Newsletter,842,32,32,6.5
2026-01-27,Google Ads,Restaurant Operations,374,15,14,34.85
2026-04-13,Referral,Customer Referral,18,18,18,0.0
2025-11-10,Direct,Brand Direct,77,77,77,0.0
2025-12-16,Referral,Customer Referral,12,12,12,0.0
2026-04-07,Organic Search,SEO Comparison,1844,59,59,0.0
2026-01-29,LinkedIn Ads,Decision Makers,838,6,5,47.52
2026-01-10,Email,Lead Nurture,474,18,18,6.5
2026-01-30,Direct,Brand Direct,92,92,92,0.0
2026-01-24,LinkedIn Ads,Decision Makers,646,5,5,37.05
2026-04-11,LinkedIn Ads,Decision Makers,672,5,4,38.7
2026-04-07,Organic Search,SEO Guides,3781,121,121,0.0
2026-01-26,LinkedIn Ads,SMB Growth,935,7,6,41.53
2026-05-30,Referral,Partner Network,20,20,20,14.28
2026-05-30,LinkedIn Ads,Operations Leaders,557,4,4,30.18
2026-06-15,Direct,Brand Direct,123,123,123,0.0
2026-02-12,Direct,Returning Visitors,54,54,54,0.0
2026-02-22,Organic Search,SEO Product Pages,3062,98,98,0.0
2026-03-07,Google Ads,High Intent Search,692,31,29,73.96
2026-03-21,Google Ads,Restaurant Operations,356,15,13,30.84
2026-06-19,Meta Ads,Awareness Video,9016,122,107,69.53
2026-06-02,Google Ads,Competitor Search,495,21,19,57.99
2026-04-21,Direct,Returning Visitors,62,62,62,0.0
2026-02-20,Meta Ads,Retargeting,2253,24,22,22.15
2026-06-11,Meta Ads,Lead Magnet,4356,56,48,40.63
2025-11-27,Organic Search,SEO Product Pages,3844,123,123,0.0
2026-05-18,Email,Reactivation,553,21,21,6.5
2026-01-05,Meta Ads,Awareness Video,9324,104,91,61.7
2026-04-02,Direct,Returning Visitors,34,34,34,0.0
2026-06-18,Referral,Customer Referral,18,18,18,0.0
2026-06-01,LinkedIn Ads,Operations Leaders,757,5,5,37.7
2026-02-28,Google Ads,Competitor Search,303,14,13,40.04
2026-06-15,Email,Lead Nurture,553,21,21,6.5
2026-04-19,LinkedIn Ads,Operations Leaders,754,5,5,33.54
2025-12-26,Organic Search,SEO Guides,2000,64,64,0.0
2026-02-13,Referral,Partner Network,18,18,18,16.53
2026-06-24,Meta Ads,Retargeting,2600,30,27,25.96
2026-01-24,Google Ads,Competitor Search,269,13,12,35.64
2026-01-17,Direct,Demo Page Direct,18,18,18,0.0
2026-05-01,LinkedIn Ads,Operations Leaders,907,6,6,41.77
2026-05-29,Meta Ads,Lead Magnet,5080,62,56,46.5
2026-04-04,Google Ads,High Intent Search,655,30,28,75.11
2026-04-08,Direct,Returning Visitors,53,53,53,0.0
2026-03-24,Linkedin Ads,Decision Makers,1451,9,8,67.81
2026-04-30,Organic Search,SEO Product Pages,4438,142,142,0.0
2026-05-15,Meta Ads,Retargeting,1832,24,22,23.56
2026-01-20,Email,Lead Nurture,553,21,21,6.5
2026-01-24,Organic Search,SEO Guides,3062,98,98,0.0
2026-05-23,Referral,Industry Events,10,10,10,0.0
2026-05-27,Direct,Returning Visitors,57,57,57,0.0
2026-02-26,Meta Ads,Retargeting,1870,21,19,19.66
2025-12-06,Email,Newsletter,474,18,18,6.5
2026-03-09,Google Ads,Restaurant Operations,372,18,16,37.93
2026-05-02,Email,Reactivation,316,12,12,6.5
2025-12-20,Organic Search,SEO Guides,2219,71,71,0.0
2026-05-20,Google Ads,Competitor Search,342,16,14,53.47
2026-05-14,Email,Lead Nurture,579,22,22,6.5
2026-03-22,Google Ads,Restaurant Operations,408,17,15,38.4
2026-02-20,Google Ads,Competitor Search,416,18,16,52.78
2026-04-28,Direct,Brand Direct,110,110,110,0.0
2026-06-25,Google Ads,High Intent Search,1017,48,42,106.36
2026-03-15,Meta Ads,Lead Magnet,2696,30,26,23.5
2026-02-23,LinkedIn Ads,SMB Growth,691,5,5,31.02
2026-05-25,Organic Search,SEO Comparison,1656,53,53,0.0
2026-02-10,Google Ads,High Intent Search,974,40,37,90.29
2026-04-23,Email,Reactivation,342,13,13,6.5
2026-01-20,Referral,Partner Network,9,9,9,14.54
2026-04-02,Meta Ads,Retargeting,1781,21,20,20.07
2026-04-20,Google Ads,Competitor Search,421,19,17,58.66
2026-04-01,LinkedIn Ads,SMB Growth,911,7,6,39.88
2026-06-04,Email,Reactivation,474,18,18,6.5
2026-01-28,Organic Search,SEO Product Pages,3875,124,124,0.0
2026-01-29,Direct,Brand Direct,95,95,95,0.0
2026-06-29,LinkedIn Ads,Decision Makers,1213,9,8,72.27
2026-04-05,Email,Lead Nurture,500,19,19,6.5
2026-06-12,Email,Reactivation,316,12,12,6.5
2026-06-16,Organic Search,SEO Guides,4656,149,149,0.0
2025-12-13,Meta Ads,Lead Magnet,2584,33,29,24.16
2025-11-27,Organic Search,SEO Guides,3625,116,116,0.0
2026-04-10,LinkedIn Ads,SMB Growth,801,6,5,36.36
2026-05-10,Email,Newsletter,684,26,26,6.5
2026-03-12,Referral,Customer Referral,21,21,21,0.0
2026-06-25,Google Ads,Competitor Search,397,17,15,56.04
2026-02-11,Google Ads,High Intent Search,1094,49,45,104.72
2026-02-16,Referral,Partner Network,16,16,16,14.98
2025-12-26,google ads,High Intent Search,532,27,24,59.53
2026-01-22,Referral,Customer Referral,11,11,11,0.0
2026-04-30,Linkedin Ads,SMB Growth,764,6,5,41.62
2026-02-14,Google Ads,High Intent Search,823,35,31,80.12
2025-11-11,Organic Search,SEO Product Pages,3312,106,106,0.0
2026-06-13,Direct,Brand Direct,87,87,87,0.0
2026-05-03,Google Ads,Restaurant Operations,421,17,16,34.51
2026-03-20,Referral,Partner Network,25,25,25,17.13
2026-04-14,LinkedIn Ads,Operations Leaders,745,5,4,35.23
2026-04-12,Google Ads,High Intent Search,757,34,30,77.64
2025-11-01,Direct,Returning Visitors,25,25,25,0.0
2026-03-10,Referral,Customer Referral,21,21,21,0.0
2026-03-22,Meta Ads,Retargeting,1659,20,19,17.44
2026-06-08,Referral,Partner Network,26,26,26,23.05
2026-05-23,Meta Ads,Retargeting,1489,19,17,17.07
2026-04-10,Google Ads,High Intent Search,1234,53,47,115.79
2026-05-11,Organic Search,SEO Guides,4344,139,139,0.0
2025-11-04,Direct,Returning Visitors,53,53,53,0.0
2026-03-15,LinkedIn Ads,Operations Leaders,596,4,3,26.6
2026-04-15,LinkedIn Ads,Decision Makers,1294,9,8,70.54
2026-06-13,Email,Reactivation,421,16,16,6.5
2026-04-22,Referral,Industry Events,10,10,10,0.0
2026-05-07,Meta Ads,Lead Magnet,4042,54,49,41.05
2026-06-21,Google Ads,Competitor Search,313,14,13,44.56
2026-06-30,LinkedIn Ads,Decision Makers,1312,9,8,69.58
2026-01-12,Organic Search,SEO Product Pages,4531,145,145,0.0
2026-01-23,LinkedIn Ads,Operations Leaders,728,5,5,33.73
2025-12-25,Google Ads,Competitor Search,158,7,6,23.57
2025-12-09,Referral,Customer Referral,14,14,14,0.0
2026-06-28,Direct,Returning Visitors,56,56,56,0.0
2026-02-01,LinkedIn Ads,SMB Growth,618,4,4,22.39
2025-11-03,Email,Newsletter,605,23,23,6.5
2026-06-09,Direct,Brand Direct,114,114,114,0.0
2026-02-06,Google Ads,Restaurant Operations,466,21,20,43.56
2025-12-29,LinkedIn Ads,Operations Leaders,532,4,4,24.22
2026-01-15,Email,Lead Nurture,711,27,27,6.5
2026-05-28,Organic Search,SEO Product Pages,4406,141,141,0.0
2025-12-25,Referral,Partner Network,8,8,8,7.79
2026-06-06,Organic Search,SEO Product Pages,3250,104,104,0.0
2026-01-22,Direct,Returning Visitors,50,50,50,0.0
2026-02-08,Direct,Demo Page Direct,21,21,21,0.0
2025-11-30,Google Ads,High Intent Search,724,31,29,82.72
2026-06-09,Organic Search,SEO Comparison,1844,59,59,0.0
2026-02-16,Organic Search,SEO Guides,3469,111,111,0.0
2025-12-23,LinkedIn Ads,Decision Makers,543,4,4,33.55
2026-04-30,Referral,Customer Referral,18,18,18,0.0
2026-06-17,Google Ads,Competitor Search,405,17,15,55.32
2026-04-19,LinkedIn Ads,SMB Growth,642,4,3,23.54
2026-01-23,Organic Search,SEO Product Pages,4344,139,139,0.0
2026-03-09,Meta Ads,Lead Magnet,4095,47,42,33.01
2026-06-17,Organic Search,SEO Guides,4406,141,141,0.0
2026-03-12,Meta Ads,Lead Magnet,4257,50,46,37.19
2026-05-03,Meta Ads,Retargeting,1423,17,16,15.55
2026-05-14,LinkedIn Ads,Decision Makers,1380,9,8,67.69
2026-02-12,Organic Search,SEO Comparison,1312,42,42,0.0
2026-06-03,Meta Ads,Retargeting,1947,22,19,19.37
2026-06-18,LinkedIn Ads,Operations Leaders,972,7,6,45.33
2026-02-25,Meta Ads,Lead Magnet,2675,35,30,30.48
2025-11-02,LinkedIn Ads,Decision Makers,924,6,5,40.73
2026-03-14,Direct,Returning Visitors,39,39,39,0.0
2026-05-29,Meta Ads,Retargeting,2573,30,27,23.46
2026-04-10,Email,Reactivation,474,18,18,6.5
2025-12-14,Email,Newsletter,737,28,28,6.5
2026-06-23,Direct,Returning Visitors,58,58,58,0.0
2025-11-29,Direct,Brand Direct,60,60,60,0.0
2026-03-28,Organic Search,SEO Comparison,1250,40,40,0.0
2026-04-25,Google Ads,Restaurant Operations,371,15,13,34.44
2026-03-20,LinkedIn Ads,Decision Makers,1157,9,8,61.69
2026-02-24,Direct,Brand Direct,114,114,114,0.0
2026-04-12,LinkedIn Ads,SMB Growth,768,5,4,26.33
2026-02-06,Email,Reactivation,395,15,15,6.5
2026-03-20,Direct,Returning Visitors,63,63,63,0.0
2026-04-24,Email,Reactivation,316,12,12,6.5
2026-02-23,Meta Ads,Awareness Video,7855,93,84,57.22
2026-02-21,Google Ads,Restaurant Operations,293,14,13,30.9
