customer_id,opportunity_id,start_date,plan,starting_mrr
1,3,2025-11-25,Starter,50.43
2,4,2025-11-23,Pro,110.33
3,5,2025-12-04,Pro,110.47
4,7,2025-11-25,Pro,116.09
5,9,2025-11-17,Starter,51.75
6,12,2025-11-23,Starter,49.79
7,15,2025-11-28,Pro,113.29
8,16,2026-01-08,Pro,124.82
9,17,2025-12-12,Starter,43.63
10,21,2025-12-12,Pro,114.54
11,23,2025-12-09,Pro,100.25
12,24,2025-12-02,Pro,126.58
13,28,2025-12-05,Group,1565.22
14,31,2025-12-02,Starter,46.41
15,32,2025-12-18,Pro,106.54
16,34,2025-12-02,Starter,46.51
17,36,2026-02-09,Pro,111.81
18,40,2025-12-08,Pro,116.61
19,43,2025-12-01,Starter,43.06
20,45,2025-12-01,Starter,47.48
21,46,2025-12-01,Pro,96.74
22,49,2025-12-15,Starter,46.52
23,52,2025-12-30,Pro,122.58
24,53,2025-11-26,Pro,120.18
25,54,2025-12-19,Starter,47.88
26,60,2025-12-24,Group,988.29
27,63,2025-12-18,Starter,44.67
28,67,2026-01-03,Starter,40.02
29,76,2025-12-10,Pro,95.81
30,79,2025-12-14,Starter,41.88
31,89,2025-12-13,Pro,108.08
32,92,2025-12-13,Starter,46.17
33,96,2025-12-23,Group,1411.72
34,99,2025-12-08,Starter,42.16
35,100,2026-01-11,Pro,103.77
36,115,2025-12-28,Pro,100.73
37,118,2026-01-12,Starter,45.86
38,122,2026-01-05,Starter,45.86
39,131,2026-01-07,Group,840.11
40,132,2026-01-04,Starter,45.24
41,133,2026-01-11,Starter,37.79
42,134,2026-01-12,Pro,101.58
43,136,2025-12-16,Starter,40.49
44,137,2026-01-06,Starter,52.96
45,143,2026-01-03,Pro,104.56
46,145,2026-01-20,Pro,109.13
47,154,2025-12-31,Starter,40.89
48,155,2025-12-23,Starter,51.02
49,159,2025-12-30,Starter,53.67
50,164,2026-03-14,Group,509.65
51,165,2026-01-15,Starter,40.68
52,166,2026-01-18,Pro,110.35
53,168,2026-01-08,Starter,44.73
54,170,2026-01-07,Starter,38.53
55,171,2026-01-17,Pro,108.95
56,177,2026-01-13,Starter,43.48
57,179,2026-01-11,Pro,111.47
58,183,2026-01-05,Pro,109.87
59,185,2026-01-12,Pro,107.45
60,188,2026-01-16,Starter,42.92
61,189,2026-01-04,Pro,99.08
