lead_id,created_at,channel,campaign,region,company_size,business_type,lead_score,is_mql,is_sql
1,2025-11-01 18:37,Google Ads,High Intent Search,LIEGE,1-9,Restaurant,54.0,1,1
2,2025-11-01 10:48,LinkedIn Ads,Decision Makers,Walloon Brabant,10-49,Café,71.0,1,1
3,2025-11-01 17:44,Meta Ads,Awareness Video,Brussels,10-49,Restaurant,6.0,0,0
4,2025-11-01 19:43,Meta Ads,Awareness Video,Flemish Brabant,1-9,Restaurant,44.0,0,0
5,2025-11-01 15:04,Meta Ads,Lead Magnet,Brussels,1-9,Snack,53.0,1,1
6,2025-11-01 09:19,Meta Ads,Lead Magnet,Walloon Brabant,1-9,Restaurant,23.0,0,0
7,2025-11-01 17:53,Organic Search,SEO Product Pages,Brussels,1-9,Bar,47.0,1,1
8,2025-11-01 08:15,Organic Search,SEO Guides,Antwerp,1-9,Restaurant,50.0,0,1
9,2025-11-01 11:21,Direct,Returning Visitors,Walloon Brabant,10-49,Restaurant,76.0,1,1
10,2025-11-01 16:45,Referral,Partner Network,East Flanders,1-9,Bar,74.0,1,0
11,2025-11-01 16:58,Referral,Customer Referral,Flemish Brabant,10-49,Snack,89.0,1,1
12,2025-11-02 20:48,Google Ads,High Intent Search,Brussels,1-9,Bar,60.0,0,0
13,2025-11-02 11:27,Meta Ads,Awareness Video,Antwerp,1-9,Restaurant,18.0,0,0
14,2025-11-02 14:53,Meta Ads,Awareness Video,East Flanders,1-9,Restaurant,42.0,0,0
15,2025-11-02 17:06,Meta Ads,Lead Magnet,Flemish Brabant,1-9,Restaurant,29.0,0,0
16,2025-11-02 09:46,Organic Search,SEO Product Pages,Hainaut,10-49,Snack,76.0,1,1
17,2025-11-02 15:27,Organic Search,SEO Product Pages,East Flanders,1-9,Hotel,54.0,1,1
18,2025-11-02 14:43,Direct,Brand Direct,Flemish Brabant,1-9,Restaurant,46.0,0,0
19,2025-11-02 14:00,Direct,Brand Direct,Walloon Brabant,1-9,Restaurant,43.0,0,0
20,2025-11-02 08:43,Email,Newsletter,Flemish Brabant,1-9,Café,50.0,0,0
21,2025-11-02 13:23,Email,Newsletter,Brussels,1-9,Snack,69.0,1,0
