lead_id,created_at,channel,campaign,region,company_size,business_type,lead_score,is_mql,is_sql
1.0,2025-11-01 18:37,Google Ads,High Intent Search,LIEGE,1-9,Restaurant,54.0,1,1
2.0,2025-11-01 10:48,LinkedIn Ads,Decision Makers,Walloon Brabant,10-49,Café,71.0,1,1
3.0,2025-11-01 17:44,Meta Ads,Awareness Video,Brussels,10-49,Restaurant,6.0,0,0
4.0,2025-11-01 19:43,Meta Ads,Awareness Video,Flemish Brabant,1-9,Restaurant,44.0,0,0
5.0,2025-11-01 15:04,Meta Ads,Lead Magnet,Brussels,1-9,Snack,53.0,1,1
6.0,2025-11-01 09:19,Meta Ads,Lead Magnet,Walloon Brabant,1-9,Restaurant,23.0,0,0
7.0,2025-11-01 17:53,Organic Search,SEO Product Pages,Brussels,1-9,Bar,47.0,1,1
8.0,2025-11-01 08:15,Organic Search,SEO Guides,Antwerp,1-9,Restaurant,50.0,0,1
9.0,2025-11-01 11:21,Direct,Returning Visitors,Walloon Brabant,10-49,Restaurant,76.0,1,1
10.0,2025-11-01 16:45,Referral,Partner Network,East Flanders,1-9,Bar,74.0,1,0
11.0,2025-11-01 16:58,Referral,Customer Referral,Flemish Brabant,10-49,Snack,89.0,1,1
12.0,2025-11-02 20:48,Google Ads,High Intent Search,Brussels,1-9,Bar,60.0,0,0
13.0,2025-11-02 11:27,Meta Ads,Awareness Video,Antwerp,1-9,Restaurant,18.0,0,0
14.0,2025-11-02 14:53,Meta Ads,Awareness Video,East Flanders,1-9,Restaurant,42.0,0,0
15.0,2025-11-02 17:06,Meta Ads,Lead Magnet,Flemish Brabant,1-9,Restaurant,29.0,0,0
16.0,2025-11-02 09:46,Organic Search,SEO Product Pages,Hainaut,10-49,Snack,76.0,1,1
17.0,2025-11-02 15:27,Organic Search,SEO Product Pages,East Flanders,1-9,Hotel,54.0,1,1
18.0,2025-11-02 14:43,Direct,Brand Direct,Flemish Brabant,1-9,Restaurant,46.0,0,0
19.0,2025-11-02 14:00,Direct,Brand Direct,Walloon Brabant,1-9,Restaurant,43.0,0,0
20.0,2025-11-02 08:43,Email,Newsletter,Flemish Brabant,1-9,Café,50.0,0,0
21.0,2025-11-02 13:23,Email,Newsletter,Brussels,1-9,Snack,69.0,1,0
22.0,2025-11-03 17:12,Google Ads,High Intent Search,Flemish Brabant,10-49,Snack,39.0,1,1
23.0,2025-11-03 08:46,Google Ads,High Intent Search,Hainaut,1-9,Restaurant,65.0,0,0
24.0,2025-11-03 14:32,LinkedIn Ads,Decision Makers,Antwerp,10-49,Snack,72.0,1,0
25.0,2025-11-03 13:58,Meta Ads,Awareness Video,East Flanders,1-9,Restaurant,21.0,0,0
26.0,2025-11-03 12:35,Meta Ads,Awareness Video,Hainaut,10-49,Snack,48.0,0,0
27.0,2025-11-03 19:59,Meta Ads,Awareness Video,Brussels,10-49,Restaurant,16.0,0,0
28.0,2025-11-03 12:10,Meta Ads,Awareness Video,Flemish Brabant,10-49,Restaurant,22.0,0,0
29.0,2025-11-03 10:27,Meta Ads,Awareness Video,Walloon Brabant,10-49,Restaurant,51.0,0,0
30.0,2025-11-03 11:57,Meta Ads,Awareness Video,Walloon Brabant,1-9,Café,25.0,0,0
31.0,2025-11-03 20:51,Meta Ads,Awareness Video,Hainaut,1-9,Restaurant,22.0,0,0
32.0,2025-11-03 08:48,Meta Ads,Awareness Video,Brussels,1-9,Restaurant,37.0,0,0
33.0,2025-11-03 07:38,Meta Ads,Lead Magnet,Antwerp,10-49,Restaurant,44.0,0,0
34.0,2025-11-03 08:57,Organic Search,SEO Product Pages,Brussels,10-49,Restaurant,54.0,0,0
35.0,2025-11-03 09:30,Organic Search,SEO Product Pages,Antwerp,1-9,Restaurant,68.0,1,1
36.0,2025-11-03 14:57,Organic Search,SEO Guides,Brussels,1-9,Café,63.0,1,1
37.0,2025-11-03 21:56,Organic Search,SEO Guides,Liège,10-49,Snack,62.0,0,0
38.0,2025-11-03 14:24,Direct,Brand Direct,East Flanders,1-9,Restaurant,72.0,1,1
39.0,2025-11-04 10:38,LinkedIn Ads,Decision Makers,Namur,10-49,Bar,62.0,1,1
40.0,2025-11-04 08:44,Meta Ads,Awareness Video,Brussels,10-49,Café,40.0,1,0
41.0,2025-11-04 07:04,Meta Ads,Awareness Video,Namur,1-9,Snack,11.0,0,0
42.0,2025-11-04 07:15,Meta Ads,Awareness Video,Hainaut,1-9,Bar,0.0,0,0
43.0,2025-11-04 17:06,Organic Search,SEO Product Pages,Liège,1-9,Restaurant,40.0,1,0
44.0,2025-11-04 21:48,Organic Search,SEO Product Pages,Hainaut,1-9,Hotel,76.0,0,0
45.0,2025-11-04 14:31,Organic Search,SEO Product Pages,Walloon Brabant,10-49,Restaurant,77.0,1,0
46.0,2025-11-04 08:13,Organic Search,SEO Product Pages,Brussels,1-9,Restaurant,66.0,1,0
47.0,2025-11-04 07:25,Organic Search,SEO Product Pages,Brussels,1-9,Bar,57.0,0,0
48.0,2025-11-04 16:38,Organic Search,SEO Product Pages,Liège,10-49,Snack,49.0,1,0
49.0,2025-11-04 17:51,Direct,Brand Direct,Anvers,10-49,Restaurant,82.0,0,0
50.0,2025-11-04 12:10,Direct,Brand Direct,Antwerp,1-9,Restaurant,55.0,1,0
51.0,2025-11-04 09:25,Email,Newsletter,Namur,1-9,Restaurant,44.0,0,0
52.0,2025-11-04 09:42,Email,Newsletter,Antwerp,10-49,Restaurant,63.0,1,0
53.0,2025-11-04 09:01,Email,Newsletter,Flemish Brabant,10-49,Restaurant,78.0,0,0
54.0,2025-11-04 12:31,Email,Newsletter,Walloon Brabant,50+,Bar,45.0,0,0
55.0,2025-11-04 11:50,Email,Newsletter,Brussels,1-9,Restaurant,55.0,1,1
56.0,2025-11-04 10:40,Referral,Partner Network,Flemish Brabant,1-9,Snack,80.0,0,0
57.0,2025-11-04 17:59,Referral,Customer Referral,Brussels,10-49,Restaurant,62.0,1,1
58.0,2025-11-05 13:46,Google Ads,High Intent Search,East Flanders,1-9,Bar,60.0,0,0
