opportunity_id,lead_id,created_at,closed_at,stage,plan,sites,expected_value,won_value
1,2,2025-11-05,2025-11-29,Lost,Pro,1,1451.59,0.0
2,5,2025-11-05,2025-11-10,Lost,Starter,1,592.22,0.0
3,7,2025-11-11,2025-11-25,Won,Starter,1,618.92,605.18
4,11,2025-11-04,2025-11-23,Won,Pro,1,1460.98,1323.92
5,16,2025-11-12,2025-12-04,Won,Pro,1,1389.53,1325.68
6,17,2025-11-10,2025-12-05,Lost,Starter,1,571.84,0.0
7,22,2025-11-05,2025-11-25,Won,Pro,1,1374.75,1393.12
8,35,2025-11-10,2025-11-28,Lost,Starter,1,583.8,0.0
9,36,2025-11-07,2025-11-17,Won,Starter,1,624.88,621.03
10,38,2025-11-13,2025-11-23,Lost,Starter,1,571.35,0.0
11,39,2025-11-11,2025-11-19,Lost,Pro,1,1422.45,0.0
12,55,2025-11-09,2025-11-23,Won,Starter,1,596.93,597.5
13,57,2025-11-09,2025-11-25,Lost,Starter,1,609.74,0.0
14,64,2025-11-07,2025-12-08,Lost,Group,3,10847.95,0.0
15,66,2025-11-14,2025-11-28,Won,Pro,1,1475.56,1359.5
16,67,2025-11-09,2026-01-08,Won,Pro,1,1568.79,1497.83
17,90,2025-11-10,2025-12-12,Won,Starter,1,553.4,523.57
18,92,2025-11-08,2025-11-23,Lost,Starter,1,558.31,0.0
19,103,2025-11-10,2025-11-25,Lost,Pro,1,1462.12,0.0
20,106,2025-11-15,2025-12-12,Lost,Starter,1,576.49,0.0
21,108,2025-11-11,2025-12-12,Won,Pro,1,1474.78,1374.53
22,113,2025-11-10,2025-11-27,Lost,Starter,1,640.93,0.0
23,133,2025-11-13,2025-12-09,Won,Pro,1,1305.64,1202.99
24,135,2025-11-12,2025-12-02,Won,Pro,1,1523.03,1518.91
25,150,2025-11-12,2025-12-17,Lost,Starter,1,536.51,0.0
26,161,2025-11-18,2025-11-25,Lost,Starter,1,607.51,0.0
27,163,2025-11-20,2025-12-12,Lost,Starter,1,609.63,0.0
28,166,2025-11-20,2025-12-05,Won,Group,5,18491.59,18782.58
29,167,2025-11-20,2025-12-02,Lost,Pro,1,1458.62,0.0
