lead_id,created_date_key,channel_id,campaign_id,region_id,company_size,business_type,lead_score,is_mql,is_sql
1,20251101,1,1,6,1-9,Restaurant,54,1,1
2,20251101,2,4,7,10-49,Café,71,1,1
3,20251101,3,7,1,10-49,Restaurant,6,0,0
4,20251101,3,7,4,1-9,Restaurant,44,0,0
5,20251101,3,8,1,1-9,Snack,53,1,1
6,20251101,3,8,7,1-9,Restaurant,23,0,0
7,20251101,4,10,1,1-9,Bar,47,1,1
8,20251101,4,11,2,1-9,Restaurant,50,1,1
9,20251101,5,14,7,10-49,Restaurant,76,1,1
10,20251101,7,19,3,1-9,Bar,74,1,0
11,20251101,7,20,4,10-49,Snack,89,1,1
12,20251102,1,1,1,1-9,Bar,60,0,0
13,20251102,3,7,2,1-9,Restaurant,18,0,0
14,20251102,3,7,3,1-9,Restaurant,42,0,0
15,20251102,3,8,4,1-9,Restaurant,29,0,0
16,20251102,4,10,5,10-49,Snack,76,1,1
17,20251102,4,10,3,1-9,Hotel,54,1,1
18,20251102,5,13,4,1-9,Restaurant,46,0,0
19,20251102,5,13,7,1-9,Restaurant,43,0,0
20,20251102,6,16,4,1-9,Café,50,0,0
21,20251102,6,16,1,1-9,Snack,69,1,0
22,20251103,1,1,4,10-49,Snack,39,1,1
23,20251103,1,1,5,1-9,Restaurant,65,0,0
24,20251103,2,4,2,10-49,Snack,72,1,0
25,20251103,3,7,3,1-9,Restaurant,21,0,0
26,20251103,3,7,5,10-49,Snack,48,0,0
27,20251103,3,7,1,10-49,Restaurant,16,0,0
28,20251103,3,7,4,10-49,Restaurant,22,0,0
29,20251103,3,7,7,10-49,Restaurant,51,0,0
30,20251103,3,7,7,1-9,Café,25,0,0
31,20251103,3,7,5,1-9,Restaurant,22,0,0
32,20251103,3,7,1,1-9,Restaurant,37,0,0
33,20251103,3,8,2,10-49,Restaurant,44,0,0
34,20251103,4,10,1,10-49,Restaurant,54,0,0
35,20251103,4,10,2,1-9,Restaurant,68,1,1
36,20251103,4,11,1,1-9,Café,63,1,1
37,20251103,4,11,6,10-49,Snack,62,0,0
38,20251103,5,13,3,1-9,Restaurant,72,1,1
39,20251104,2,4,8,10-49,Bar,62,1,1
40,20251104,3,7,1,10-49,Café,40,1,0
41,20251104,3,7,8,1-9,Snack,11,0,0
