opportunity_id,lead_id,created_date_key,close_date_key,revenue_date_key,channel_id,campaign_id,region_id,company_size,plan,sites,status,is_won,expected_value,won_value,sales_cycle_days,value_imputed
1,2,20251105,20251129,20251129,2,4,7,10-49,Pro,1,Lost,0,1451.59,0.0,24,0
2,5,20251105,20251110,20251110,3,8,1,1-9,Starter,1,Lost,0,592.22,0.0,5,0
3,7,20251111,20251125,20251125,4,10,1,1-9,Starter,1,Won,1,618.92,605.18,14,0
4,11,20251104,20251123,20251123,7,20,4,10-49,Pro,1,Won,1,1460.98,1323.92,19,0
5,16,20251112,20251204,20251204,4,10,5,10-49,Pro,1,Won,1,1389.53,1325.68,22,0
6,17,20251110,20251205,20251205,4,10,3,1-9,Starter,1,Lost,0,571.84,0.0,25,0
7,22,20251105,20251125,20251125,1,1,4,10-49,Pro,1,Won,1,1374.75,1393.12,20,0
8,35,20251110,20251128,20251128,4,10,2,1-9,Starter,1,Lost,0,583.8,0.0,18,0
9,36,20251107,20251117,20251117,4,11,1,1-9,Starter,1,Won,1,624.88,621.03,10,0
10,38,20251113,20251123,20251123,5,13,3,1-9,Starter,1,Lost,0,571.35,0.0,10,0
11,39,20251111,20251119,20251119,2,4,8,10-49,Pro,1,Lost,0,1422.45,0.0,8,0
12,55,20251109,20251123,20251123,6,16,1,1-9,Starter,1,Won,1,596.93,597.5,14,0
13,57,20251109,20251125,20251125,7,20,1,10-49,Starter,1,Lost,0,609.74,0.0,16,0
14,64,20251107,20251208,20251208,4,10,3,50+,Group,3,Lost,0,10847.95,0.0,31,0
15,66,20251114,20251128,20251128,4,10,5,1-9,Pro,1,Won,1,1475.56,1359.5,14,0
16,67,20251109,20260108,20260108,4,11,7,10-49,Pro,1,Won,1,1568.79,1497.83,60,0
17,90,20251110,20251212,20251212,5,13,3,10-49,Starter,1,Won,1,553.4,523.57,32,0
18,92,20251108,20251123,20251123,5,13,2,1-9,Starter,1,Lost,0,558.31,0.0,15,0
19,103,20251110,20251125,20251125,5,13,1,10-49,Pro,1,Lost,0,1462.12,0.0,15,0
20,106,20251115,20251212,20251212,7,20,8,1-9,Starter,1,Lost,0,576.49,0.0,27,0
21,108,20251111,20251212,20251212,3,7,6,10-49,Pro,1,Won,1,1474.78,1374.53,31,0
22,113,20251110,20251127,20251127,6,16,7,1-9,Starter,1,Lost,0,640.93,0.0,17,0
23,133,20251113,20251209,20251209,7,19,2,10-49,Pro,1,Won,1,1305.64,1202.99,26,0
24,135,20251112,20251202,20251202,7,20,5,10-49,Pro,1,Won,1,1523.03,1518.91,20,0
25,150,20251112,20251217,20251217,4,11,2,1-9,Starter,1,Lost,0,536.51,0.0,35,0
26,161,20251118,20251125,20251125,5,13,1,1-9,Starter,1,Lost,0,607.51,0.0,7,0
27,163,20251120,20251212,20251212,6,16,6,1-9,Starter,1,Lost,0,609.63,0.0,22,0
28,166,20251120,20251205,20251205,7,19,4,10-49,Group,5,Won,1,18491.59,18782.58,15,0
29,167,20251120,20251202,20251202,7,19,5,1-9,Pro,1,Lost,0,1458.62,0.0,12,0
30,175,20251118,20251129,20251129,4,10,2,10-49,Starter,1,Lost,0,635.19,0.0,11,0
31,179,20251121,20251202,20251202,4,11,3,1-9,Starter,1,Won,1,570.56,556.97,11,0
32,182,20251117,20251218,20251218,5,13,1,10-49,Pro,1,Won,1,1351.39,1278.42,31,0
33,186,20251122,20251214,20251214,7,19,3,1-9,Pro,1,Lost,0,1518.49,0.0,22,0
34,188,20251114,20251202,20251202,7,20,2,1-9,Starter,1,Won,1,622.11,558.12,18,0
35,190,20251120,20251216,20251216,1,2,5,10-49,Pro,1,Lost,0,1381.71,0.0,26,0
36,192,20251115,20260209,20260209,2,4,1,50+,Pro,1,Won,1,1490.54,1341.7,86,0
37,197,20251116,20251218,20251218,4,10,7,1-9,Starter,1,Lost,0,560.25,0.0,32,0
38,200,20251123,20260105,20260105,5,13,3,10-49,Pro,1,Lost,0,1309.88,0.0,43,0
39,201,20251121,20251214,20251214,5,14,8,10-49,Starter,1,Lost,0,636.72,0.0,23,0
40,202,20251123,20251208,20251208,6,16,6,10-49,Pro,1,Won,1,1376.57,1399.35,15,0
41,205,20251120,20251124,20251124,7,19,4,1-9,Starter,1,Lost,0,625.78,0.0,4,0
42,207,20251119,20251201,20251201,2,4,1,10-49,Starter,1,Lost,0,564.58,0.0,12,0
43,218,20251120,20251201,20251201,4,10,2,10-49,Starter,1,Won,1,534.1,516.71,11,0
44,224,20251120,20251128,20251128,4,11,2,1-9,Starter,1,Lost,0,631.16,0.0,8,0
45,230,20251116,20251201,20251201,6,16,4,1-9,Starter,1,Won,1,645.15,569.77,15,0
46,235,20251119,20251201,20251201,2,4,4,1-9,Pro,1,Won,1,1353.46,1160.83,12,0
